Timestamp,Channel,Course,Country,Gender,Cohort,Is_Spike_Event,Registration_Date,Day_of_Week,Month
2025-11-06 10:49:00,X (Twitter),Data Science and AI,Nigeria,Male,Cohort 9,False,2025-11-06,Thursday,November
2025-11-07 21:16:00,Referral,Healthcare Data Analytics,Nigeria,Female,Cohort 9,False,2025-11-07,Friday,November
2025-11-10 09:45:00,X (Twitter),Data Science and AI,South Africa,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 10:00:00,LinkedIn,Data Science and AI,Botswana,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 10:11:00,LinkedIn,Data Science and AI,South Africa,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 10:48:00,LinkedIn,Healthcare Data Analytics,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 11:02:00,LinkedIn,Data Science and AI,Zimbabwe,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 12:03:00,X (Twitter),Data Science and AI,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 12:16:00,LinkedIn,Financial Analytics,South Africa,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 12:18:00,LinkedIn,Data Science and AI,South Africa,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 12:19:00,LinkedIn,Healthcare Data Analytics,Nigeria,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 12:30:00,WhatsApp,Healthcare Data Analytics,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 12:37:00,X (Twitter),Financial Analytics,Nigeria,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 12:45:00,WhatsApp,Healthcare Data Analytics,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 12:52:00,LinkedIn,Healthcare Data Analytics,Nigeria,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 12:55:00,X (Twitter),Healthcare Data Analytics,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 12:57:00,LinkedIn,Healthcare Data Analytics,Nigeria,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 12:57:00,X (Twitter),Healthcare Data Analytics,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 13:00:00,LinkedIn,Financial Analytics,Zimbabwe,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 13:12:00,X (Twitter),Financial Analytics,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 13:13:00,X (Twitter),Data Science and AI,Nigeria,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 13:32:00,X (Twitter),Healthcare Data Analytics,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 13:49:00,LinkedIn,Financial Analytics,Zimbabwe,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 13:52:00,LinkedIn,Data Science and AI,United Kingdom,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 14:10:00,X (Twitter),Data Science and AI,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 14:26:00,WhatsApp,Financial Analytics,Zimbabwe,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 14:31:00,LinkedIn,Sales and Marketing Analytics,Uganda,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 14:35:00,LinkedIn,Data Science and AI,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 14:41:00,LinkedIn,Sales and Marketing Analytics,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 14:54:00,WhatsApp,Healthcare Data Analytics,Nigeria,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 14:54:00,WhatsApp,Data Science and AI,Nigeria,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 15:05:00,X (Twitter),Sales and Marketing Analytics,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 15:13:00,X (Twitter),Financial Analytics,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 15:23:00,X (Twitter),Financial Analytics,Kenya,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 15:36:00,LinkedIn,Data Science and AI,South Africa,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 15:37:00,LinkedIn,Data Science and AI,Malawi,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 15:52:00,LinkedIn,Sales and Marketing Analytics,Ethiopia,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 16:05:00,LinkedIn,Healthcare Data Analytics,Nigeria,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 16:14:00,X (Twitter),Financial Analytics,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 16:30:00,LinkedIn,Data Science and AI,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 16:40:00,WhatsApp,Healthcare Data Analytics,Ghana,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 16:45:00,LinkedIn,Healthcare Data Analytics,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 17:23:00,X (Twitter),Healthcare Data Analytics,Nigeria,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 17:32:00,LinkedIn,Financial Analytics,Ghana,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 17:43:00,X (Twitter),Financial Analytics,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 17:57:00,LinkedIn,Sales and Marketing Analytics,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 18:14:00,X (Twitter),Financial Analytics,Ambiguous,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 18:22:00,X (Twitter),Sales and Marketing Analytics,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 18:32:00,X (Twitter),Healthcare Data Analytics,Kenya,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 18:32:00,LinkedIn,Healthcare Data Analytics,Nigeria,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 18:47:00,X (Twitter),Data Science and AI,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 19:00:00,LinkedIn,Financial Analytics,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 19:18:00,LinkedIn,Data Science and AI,Malawi,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 19:41:00,X (Twitter),Data Science and AI,Nigeria,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 19:51:00,WhatsApp,Data Science and AI,Nigeria,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 19:59:00,X (Twitter),Healthcare Data Analytics,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 20:02:00,X (Twitter),Healthcare Data Analytics,Ambiguous,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 20:23:00,WhatsApp,Data Science and AI,Tanzania,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 20:33:00,WhatsApp,Data Science and AI,Zimbabwe,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 20:38:00,WhatsApp,Financial Analytics,Tanzania,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 20:51:00,WhatsApp,Data Science and AI,Zimbabwe,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 21:00:00,WhatsApp,Data Science and AI,Tanzania,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 21:28:00,X (Twitter),Healthcare Data Analytics,Nigeria,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 21:32:00,X (Twitter),Data Science and AI,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 21:44:00,X (Twitter),Data Science and AI,Canada,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 22:06:00,LinkedIn,Healthcare Data Analytics,Cameroon,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 22:33:00,X (Twitter),Sales and Marketing Analytics,Ghana,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 22:55:00,X (Twitter),Financial Analytics,Nigeria,Male,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 23:07:00,LinkedIn,Healthcare Data Analytics,Nigeria,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-10 23:10:00,WhatsApp,Financial Analytics,Nigeria,Female,Cohort 9,False,2025-11-10,Monday,November
2025-11-11 00:42:00,LinkedIn,Data Science and AI,Cameroon,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 03:04:00,X (Twitter),Data Science and AI,India,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 03:28:00,X (Twitter),Data Science and AI,Jamaica,Female,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 04:55:00,WhatsApp,Healthcare Data Analytics,Tanzania,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 06:16:00,WhatsApp,Data Science and AI,Nigeria,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 06:18:00,LinkedIn,Sales and Marketing Analytics,Nigeria,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 07:04:00,X (Twitter),Sales and Marketing Analytics,Nigeria,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 07:10:00,WhatsApp,Financial Analytics,Tanzania,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 07:39:00,LinkedIn,Data Science and AI,Nigeria,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 07:52:00,LinkedIn,Data Science and AI,Zimbabwe,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 07:54:00,X (Twitter),Financial Analytics,Nigeria,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 08:00:00,X (Twitter),Sales and Marketing Analytics,Nigeria,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 08:01:00,WhatsApp,Healthcare Data Analytics,Nigeria,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 08:41:00,LinkedIn,Healthcare Data Analytics,Nigeria,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 08:46:00,LinkedIn,Financial Analytics,Ethiopia,Female,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 09:49:00,WhatsApp,Data Science and AI,Nigeria,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 09:49:00,LinkedIn,Data Science and AI,Nigeria,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 09:52:00,X (Twitter),Data Science and AI,Ghana,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 10:08:00,LinkedIn,Financial Analytics,Nigeria,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 12:11:00,WhatsApp,Data Science and AI,Tanzania,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 12:38:00,LinkedIn,Data Science and AI,United States,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 14:10:00,LinkedIn,Data Science and AI,Nigeria,Female,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 14:29:00,LinkedIn,Healthcare Data Analytics,Nigeria,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 14:42:00,LinkedIn,Financial Analytics,Nigeria,Female,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 14:49:00,LinkedIn,Data Science and AI,South Africa,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 16:02:00,LinkedIn,Healthcare Data Analytics,Zimbabwe,Female,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 17:42:00,LinkedIn,Data Science and AI,Zimbabwe,Female,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 19:08:00,LinkedIn,Healthcare Data Analytics,Canada,Female,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 20:11:00,X (Twitter),Data Science and AI,Nigeria,Female,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 20:29:00,WhatsApp,Data Science and AI,Nigeria,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 20:59:00,X (Twitter),Sales and Marketing Analytics,Nigeria,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 22:28:00,X (Twitter),Data Science and AI,Nigeria,Female,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-11 22:56:00,X (Twitter),Data Science and AI,Ghana,Male,Cohort 9,False,2025-11-11,Tuesday,November
2025-11-12 01:19:00,LinkedIn,Data Science and AI,Canada,Male,Cohort 9,False,2025-11-12,Wednesday,November
2025-11-12 08:53:00,WhatsApp,Healthcare Data Analytics,Nigeria,Male,Cohort 9,False,2025-11-12,Wednesday,November
2025-11-12 10:26:00,WhatsApp,Data Science and AI,Nigeria,Female,Cohort 9,False,2025-11-12,Wednesday,November
2025-11-12 10:27:00,WhatsApp,Healthcare Data Analytics,Nigeria,Female,Cohort 9,False,2025-11-12,Wednesday,November
2025-11-12 10:27:00,LinkedIn,Healthcare Data Analytics,Nigeria,Male,Cohort 9,False,2025-11-12,Wednesday,November
2025-11-12 10:27:00,WhatsApp,Sales and Marketing Analytics,Nigeria,Female,Cohort 9,False,2025-11-12,Wednesday,November
2025-11-12 10:30:00,WhatsApp,Data Science and AI,Nigeria,Male,Cohort 9,False,2025-11-12,Wednesday,November
2025-11-12 10:31:00,WhatsApp,Healthcare Data Analytics,Nigeria,Male,Cohort 9,False,2025-11-12,Wednesday,November
2025-11-12 10:32:00,WhatsApp,Financial Analytics,Nigeria,Female,Cohort 9,False,2025-11-12,Wednesday,November
2025-11-12 10:33:00,WhatsApp,Healthcare Data Analytics,Nigeria,Female,Cohort 9,False,2025-11-12,Wednesday,November
